"vendors_id","uuid","serial"
"229","5be4e07b-7905-4bca-8f22-55cc985407df","A157FN230400183"
"229","0d45ea99-4fe4-46ab-b411-91633bd8ca13","A157FN230400183"
"65","2b663bf8-4248-4ada-9b0b-e319fc9e647f","A157FN230400026"
"65","286eb8d8-b1f6-492c-93cd-9955a332401a","A157FN230400026"
"201","b223d0de-16de-4e64-833f-a34666cf7e62","9739241e-936c-44f7-ab58-ec413ce76105"
"114","955fcf59-4b2f-48df-b293-1e339a4d4d80","A157FN230400193"
"114","3ff37b90-b0ef-4e9f-9481-46fd4fabd52f","A157FN230400193"
"114","6a3d1b46-da8d-4d3f-bde7-f884942dd9e7","A157FN230400193"
"229","3dcae2c4-4c71-4ef4-b5a2-f8de5d5e80a3","A157FN230400183"
"65","bb375d15-c376-43a6-a5b0-01652c26270a","A157FN230400026"
"201","bf8fce7d-b590-46b7-b5c0-6fd5a74b0b85","9739241e-936c-44f7-ab58-ec413ce76105"
"201","d97b7358-4fe8-4966-9113-1f1357b317a6","9739241e-936c-44f7-ab58-ec413ce76105"
"201","8ad42907-d747-408b-9466-f5542fc1240d","9739241e-936c-44f7-ab58-ec413ce76105"
"201","4ecc9d29-0217-4c69-b19b-5cff67dd3b52","9739241e-936c-44f7-ab58-ec413ce76105"
"201","7dd77521-c8db-455b-87e7-6f075ef35335","9739241e-936c-44f7-ab58-ec413ce76105"
"114","5d23b4fe-cd81-413c-bb77-a886d0da3aea","A157FN230400193"
"201","e5864abc-530f-4635-8fe8-8c5b4e8a38f3","9739241e-936c-44f7-ab58-ec413ce76105"
"65","9503aa5b-46bb-43f8-890e-ac2c83af2b84","A157FN230400026"
"65","3dd62821-d68e-4e81-8d3a-40ce9bfa881e","A157FN230400026"
"65","ec63da81-e608-410f-a232-637458ac2953","A157FN230400026"
"65","75a5cafc-4aeb-4b63-b557-1cb34368e243","A157FN230400026"
"201","3b4e13cb-04bb-4d94-a047-194758426e35","9739241e-936c-44f7-ab58-ec413ce76105"
"201","390f97ff-3f71-4bba-80ca-4dfb77abea4b","9739241e-936c-44f7-ab58-ec413ce76105"
"65","2e03c5cb-49b4-43c8-b45e-3d903e20d525","A157FN230400026"
"65","ce1ad745-3a7a-4d99-8fb3-71c3e891bc5d","A157FN230400026"
"65","6ec598da-c644-4404-ac6d-44ea9ae347be","A157FN230400026"
"114","78ffac0b-871b-473d-a35a-43c3ca7072d9","A157FN230400193"
"201","d610013a-8ebf-46d0-91a4-031751d6f1f4","9739241e-936c-44f7-ab58-ec413ce76105"
"201","2f9b4eb5-1794-45d1-b0fd-5b25bae1d488","9739241e-936c-44f7-ab58-ec413ce76105"
"201","faef7a17-b434-4c6f-a13f-51d043c3b745","9739241e-936c-44f7-ab58-ec413ce76105"
"201","ab891613-5d79-4f9f-8809-02b4139155ab","9739241e-936c-44f7-ab58-ec413ce76105"
"201","e670048b-0688-46ef-8405-6ecf24033085","9739241e-936c-44f7-ab58-ec413ce76105"
"201","8fd90460-a1ce-4f3a-98ef-e9298ce25bb3","9739241e-936c-44f7-ab58-ec413ce76105"
"201","f5f2a587-232d-401a-a931-83653ad41e9c","9739241e-936c-44f7-ab58-ec413ce76105"
"201","13884fb8-4ce0-4dc9-8627-45f3dd4ac4c1","9739241e-936c-44f7-ab58-ec413ce76105"
"65","07c56214-b500-4deb-bc8a-848981f669ce","A157FN230400026"
